Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 left	 LineStimuli/stimNo39r10c3v6L-1.7.jpg	 l	 5.067	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo119r0c0v6R-1.7.jpg	 r	 7.781	 GoodTrial	 U	 l
3	 1	 left	 LineStimuli/stimNo21r4c2v6R-1.7.jpg	 r	 8.380	 GoodTrial	 U	 l
4	 0	 x	 LineStimuli/stimNo158r0c0v6R-1.7.jpg	 r	 8.128	 GoodTrial	 U	 l
5	 1	 left	 LineStimuli/stimNo62r16c9v6L-1.7.jpg	 l	 1.922	 GoodTrial	 U	 l
6	 1	 right	 LineStimuli/stimNo30r6c18v6R-1.7.jpg	 l	 1.934	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo120r0c0v6R-1.7.jpg	 r	 11.841	 GoodTrial	 U	 l
8	 0	 x	 LineStimuli/stimNo125r0c0v6L-1.7.jpg	 r	 9.559	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo133r0c0v6R-1.7.jpg	 r	 14.059	 GoodTrial	 U	 l
10	 1	 right	 LineStimuli/stimNo47r15c15v6R-1.7.jpg	 l	 2.160	 GoodTrial	 U	 l
11	 1	 right	 LineStimuli/stimNo24r14c17v6L-1.7.jpg	 l	 6.621	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 11.251	 GoodTrial	 U	 l
13	 1	 right	 LineStimuli/stimNo19r1c17v6L-1.7.jpg	 l	 5.770	 GoodTrial	 U	 l
14	 1	 right	 LineStimuli/stimNo48r15c22v6L-1.7.jpg	 l	 6.357	 GoodTrial	 U	 l
15	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 2.376	 GoodTrial	 U	 l
16	 1	 right	 LineStimuli/stimNo43r11c16v6R-1.7.jpg	 l	 1.646	 GoodTrial	 U	 l
17	 0	 x	 LineStimuli/stimNo96r0c0v6L-1.7.jpg	 r	 8.347	 GoodTrial	 U	 l
18	 1	 left	 LineStimuli/stimNo45r16c5v6L-1.7.jpg	 l	 1.865	 GoodTrial	 U	 l
19	 1	 left	 LineStimuli/stimNo73r2c2v6R-1.7.jpg	 l	 8.353	 GoodTrial	 U	 l
20	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 r	 6.862	 GoodTrial	 U	 l
21	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 9.794	 GoodTrial	 U	 l
22	 0	 x	 LineStimuli/stimNo95r0c0v6L-1.7.jpg	 r	 7.957	 GoodTrial	 U	 l
23	 0	 x	 LineStimuli/stimNo103r0c0v6L-1.7.jpg	 r	 7.017	 GoodTrial	 U	 l
24	 1	 left	 LineStimuli/stimNo17r11c1v6L-1.7.jpg	 l	 1.960	 GoodTrial	 U	 l
25	 1	 right	 LineStimuli/stimNo40r12c19v6R-1.7.jpg	 l	 1.970	 GoodTrial	 U	 l
26	 1	 left	 LineStimuli/stimNo16r16c7v6R-1.7.jpg	 r	 7.575	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo140r0c0v6R-1.7.jpg	 r	 7.197	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo124r0c0v6L-1.7.jpg	 r	 9.335	 GoodTrial	 U	 l
29	 1	 right	 LineStimuli/stimNo14r10c17v6R-1.7.jpg	 l	 1.776	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo105r0c0v6L-1.7.jpg	 r	 10.434	 GoodTrial	 U	 l
