Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 r	 4.619	 GoodTrial	 U	 l
2	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 r	 2.764	 GoodTrial	 U	 l
3	 1	 right	 LineStimuli/stimNo40r12c19v6R-1.7.jpg	 r	 4.322	 GoodTrial	 U	 l
4	 1	 right	 LineStimuli/stimNo51r8c16v6R-1.7.jpg	 r	 4.990	 GoodTrial	 U	 l
5	 0	 x	 LineStimuli/stimNo125r0c0v6L-1.7.jpg	 r	 5.003	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 9.788	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo122r0c0v6L-1.7.jpg	 r	 4.945	 GoodTrial	 U	 l
8	 1	 right	 LineStimuli/stimNo19r1c17v6L-1.7.jpg	 r	 5.980	 GoodTrial	 U	 l
9	 1	 right	 LineStimuli/stimNo34r16c22v6R-1.7.jpg	 r	 9.287	 GoodTrial	 U	 l
10	 1	 right	 LineStimuli/stimNo38r15c16v6L-1.7.jpg	 l	 9.841	 GoodTrial	 U	 l
11	 1	 right	 LineStimuli/stimNo55r15c22v6R-1.7.jpg	 r	 11.704	 GoodTrial	 U	 l
12	 1	 right	 LineStimuli/stimNo66r14c16v6L-1.7.jpg	 r	 7.598	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo91r0c0v6R-1.7.jpg	 r	 6.775	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo93r0c0v6R-1.7.jpg	 r	 10.459	 GoodTrial	 U	 l
15	 1	 left	 LineStimuli/stimNo5r10c7v6L-1.7.jpg	 r	 3.916	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo99r0c0v6R-1.7.jpg	 r	 8.668	 GoodTrial	 U	 l
17	 1	 left	 LineStimuli/stimNo23r14c8v6L-1.7.jpg	 r	 9.995	 GoodTrial	 U	 l
18	 1	 right	 LineStimuli/stimNo8r2c20v6L-1.7.jpg	 l	 4.521	 GoodTrial	 U	 l
19	 0	 x	 LineStimuli/stimNo149r0c0v6R-1.7.jpg	 r	 7.169	 GoodTrial	 U	 l
20	 0	 x	 LineStimuli/stimNo145r0c0v6R-1.7.jpg	 r	 4.899	 GoodTrial	 U	 l
21	 1	 left	 LineStimuli/stimNo25r4c2v6L-1.7.jpg	 r	 4.874	 GoodTrial	 U	 l
22	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 r	 6.400	 GoodTrial	 U	 l
23	 1	 left	 LineStimuli/stimNo3r8c6v6R-1.7.jpg	 l	 6.520	 GoodTrial	 U	 l
24	 1	 right	 LineStimuli/stimNo43r11c16v6R-1.7.jpg	 r	 8.209	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo108r0c0v6L-1.7.jpg	 l	 7.160	 GoodTrial	 U	 l
26	 1	 right	 LineStimuli/stimNo58r11c14v6R-1.7.jpg	 r	 4.361	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo124r0c0v6L-1.7.jpg	 r	 6.016	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo101r0c0v6L-1.7.jpg	 r	 8.334	 GoodTrial	 U	 l
29	 1	 right	 LineStimuli/stimNo53r6c14v6L-1.7.jpg	 l	 8.073	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo121r0c0v6R-1.7.jpg	 r	 2.486	 GoodTrial	 U	 l
31	 0	 x	 LineStimuli/stimNo150r0c0v6R-1.7.jpg	 r	 4.669	 GoodTrial	 U	 l
32	 0	 x	 LineStimuli/stimNo87r0c0v6R-1.7.jpg	 l	 4.415	 GoodTrial	 U	 l
33	 0	 x	 LineStimuli/stimNo84r0c0v6L-1.7.jpg	 r	 2.218	 GoodTrial	 U	 l
34	 0	 x	 LineStimuli/stimNo116r0c0v6R-1.7.jpg	 l	 3.762	 GoodTrial	 U	 l
35	 0	 x	 LineStimuli/stimNo136r0c0v6R-1.7.jpg	 r	 2.874	 GoodTrial	 U	 l
36	 1	 left	 LineStimuli/stimNo49r12c5v6R-1.7.jpg	 r	 4.144	 GoodTrial	 U	 l
37	 0	 x	 LineStimuli/stimNo157r0c0v6L-1.7.jpg	 r	 3.474	 GoodTrial	 U	 l
38	 0	 x	 LineStimuli/stimNo90r0c0v6R-1.7.jpg	 l	 9.798	 GoodTrial	 U	 l
39	 0	 x	 LineStimuli/stimNo146r0c0v6R-1.7.jpg	 r	 4.933	 GoodTrial	 U	 l
40	 0	 x	 LineStimuli/stimNo104r0c0v6R-1.7.jpg	 l	 5.869	 GoodTrial	 U	 l
41	 0	 x	 LineStimuli/stimNo141r0c0v6L-1.7.jpg	 r	 7.575	 GoodTrial	 U	 l
42	 1	 left	 LineStimuli/stimNo11r16c8v6L-1.7.jpg	 r	 3.262	 GoodTrial	 U	 l
43	 1	 left	 LineStimuli/stimNo46r11c4v6L-1.7.jpg	 r	 4.566	 GoodTrial	 U	 l
44	 1	 right	 LineStimuli/stimNo30r6c18v6R-1.7.jpg	 r	 2.303	 GoodTrial	 U	 l
45	 0	 x	 LineStimuli/stimNo105r0c0v6L-1.7.jpg	 r	 8.259	 GoodTrial	 U	 l
46	 1	 left	 LineStimuli/stimNo17r11c1v6L-1.7.jpg	 r	 3.697	 GoodTrial	 U	 l
47	 0	 x	 LineStimuli/stimNo138r0c0v6L-1.7.jpg	 r	 5.039	 GoodTrial	 U	 l
48	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 6.428	 GoodTrial	 U	 l
