Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo144r0c0v6R-1.7.jpg	 r	 7.216	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo119r0c0v6R-1.7.jpg	 r	 4.278	 GoodTrial	 U	 l
3	 1	 left	 LineStimuli/stimNo44r15c4v6L-1.7.jpg	 l	 2.065	 GoodTrial	 U	 l
4	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 l	 6.793	 GoodTrial	 U	 l
5	 0	 x	 LineStimuli/stimNo143r0c0v6L-1.7.jpg	 r	 11.282	 GoodTrial	 U	 l
6	 1	 left	 LineStimuli/stimNo73r2c2v6R-1.7.jpg	 r	 4.199	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo122r0c0v6L-1.7.jpg	 r	 5.557	 GoodTrial	 U	 l
8	 0	 x	 LineStimuli/stimNo125r0c0v6L-1.7.jpg	 r	 5.711	 GoodTrial	 U	 l
9	 1	 left	 LineStimuli/stimNo6r2c8v6R-1.7.jpg	 r	 3.712	 GoodTrial	 U	 l
10	 1	 right	 LineStimuli/stimNo66r14c16v6L-1.7.jpg	 r	 6.052	 GoodTrial	 U	 l
11	 1	 right	 LineStimuli/stimNo13r6c19v6R-1.7.jpg	 l	 2.222	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo96r0c0v6L-1.7.jpg	 r	 5.930	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo148r0c0v6L-1.7.jpg	 r	 8.123	 GoodTrial	 U	 l
14	 1	 right	 LineStimuli/stimNo56r1c15v6L-1.7.jpg	 r	 7.906	 GoodTrial	 U	 l
15	 0	 x	 LineStimuli/stimNo123r0c0v6L-1.7.jpg	 r	 11.228	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo124r0c0v6L-1.7.jpg	 r	 9.975	 GoodTrial	 U	 l
17	 1	 right	 LineStimuli/stimNo28r12c18v6L-1.7.jpg	 l	 6.558	 GoodTrial	 U	 l
18	 1	 left	 LineStimuli/stimNo49r12c5v6R-1.7.jpg	 l	 6.552	 GoodTrial	 U	 l
19	 1	 left	 LineStimuli/stimNo23r14c8v6L-1.7.jpg	 l	 2.170	 GoodTrial	 U	 l
20	 1	 right	 LineStimuli/stimNo42r11c21v6L-1.7.jpg	 r	 7.683	 GoodTrial	 U	 l
21	 1	 right	 LineStimuli/stimNo47r15c15v6R-1.7.jpg	 l	 2.075	 GoodTrial	 U	 l
22	 0	 x	 LineStimuli/stimNo142r0c0v6L-1.7.jpg	 r	 9.516	 GoodTrial	 U	 l
23	 1	 left	 LineStimuli/stimNo62r16c9v6L-1.7.jpg	 l	 2.335	 GoodTrial	 U	 l
24	 1	 left	 LineStimuli/stimNo71r9c7v6R-1.7.jpg	 r	 8.546	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo155r0c0v6L-1.7.jpg	 r	 7.277	 GoodTrial	 U	 l
26	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 7.552	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo152r0c0v6R-1.7.jpg	 r	 11.564	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo158r0c0v6R-1.7.jpg	 r	 7.021	 GoodTrial	 U	 l
29	 0	 x	 LineStimuli/stimNo118r0c0v6L-1.7.jpg	 r	 7.670	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 r	 8.176	 GoodTrial	 U	 l
31	 0	 x	 LineStimuli/stimNo117r0c0v6L-1.7.jpg	 r	 9.717	 GoodTrial	 U	 l
32	 0	 x	 LineStimuli/stimNo85r0c0v6R-1.7.jpg	 r	 10.681	 GoodTrial	 U	 l
33	 1	 left	 LineStimuli/stimNo60r15c9v6R-1.7.jpg	 r	 7.559	 GoodTrial	 U	 l
34	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 l	 4.687	 GoodTrial	 U	 l
35	 0	 x	 LineStimuli/stimNo110r0c0v6L-1.7.jpg	 r	 12.121	 GoodTrial	 U	 l
36	 0	 x	 LineStimuli/stimNo131r0c0v6L-1.7.jpg	 r	 6.319	 GoodTrial	 U	 l
37	 0	 x	 LineStimuli/stimNo108r0c0v6L-1.7.jpg	 r	 6.989	 GoodTrial	 U	 l
38	 1	 left	 LineStimuli/stimNo46r11c4v6L-1.7.jpg	 l	 1.988	 GoodTrial	 U	 l
39	 1	 right	 LineStimuli/stimNo24r14c17v6L-1.7.jpg	 l	 5.181	 GoodTrial	 U	 l
40	 1	 left	 LineStimuli/stimNo39r10c3v6L-1.7.jpg	 l	 2.204	 GoodTrial	 U	 l
41	 1	 left	 LineStimuli/stimNo1r5c4v6R-1.7.jpg	 r	 9.430	 GoodTrial	 U	 l
42	 0	 x	 LineStimuli/stimNo107r0c0v6R-1.7.jpg	 r	 8.875	 GoodTrial	 U	 l
43	 0	 x	 LineStimuli/stimNo137r0c0v6L-1.7.jpg	 r	 10.076	 GoodTrial	 U	 l
44	 1	 right	 LineStimuli/stimNo33r3c15v6R-1.7.jpg	 l	 2.163	 GoodTrial	 U	 l
45	 1	 left	 LineStimuli/stimNo27r8c4v6L-1.7.jpg	 l	 1.964	 GoodTrial	 U	 l
46	 0	 x	 LineStimuli/stimNo140r0c0v6R-1.7.jpg	 r	 10.275	 GoodTrial	 U	 l
47	 0	 x	 LineStimuli/stimNo134r0c0v6L-1.7.jpg	 r	 6.652	 GoodTrial	 U	 l
48	 1	 left	 LineStimuli/stimNo79r12c5v6L-1.7.jpg	 l	 1.758	 GoodTrial	 U	 l
49	 0	 x	 LineStimuli/stimNo92r0c0v6R-1.7.jpg	 r	 9.458	 GoodTrial	 U	 l
50	 0	 x	 LineStimuli/stimNo160r0c0v6L-1.7.jpg	 r	 9.876	 GoodTrial	 U	 l
51	 1	 right	 LineStimuli/stimNo70r6c16v6R-1.7.jpg	 l	 1.829	 GoodTrial	 U	 l
52	 0	 x	 LineStimuli/stimNo121r0c0v6R-1.7.jpg	 r	 12.641	 GoodTrial	 U	 l
53	 0	 x	 LineStimuli/stimNo127r0c0v6R-1.7.jpg	 r	 8.728	 GoodTrial	 U	 l
54	 1	 right	 LineStimuli/stimNo8r2c20v6L-1.7.jpg	 r	 8.729	 GoodTrial	 U	 l
55	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 1.988	 GoodTrial	 U	 l
56	 0	 x	 LineStimuli/stimNo95r0c0v6L-1.7.jpg	 r	 7.535	 GoodTrial	 U	 l
57	 1	 right	 LineStimuli/stimNo38r15c16v6L-1.7.jpg	 r	 9.405	 GoodTrial	 U	 l
58	 1	 right	 LineStimuli/stimNo30r6c18v6R-1.7.jpg	 l	 1.870	 GoodTrial	 U	 l
59	 1	 left	 LineStimuli/stimNo5r10c7v6L-1.7.jpg	 l	 2.193	 GoodTrial	 U	 l
60	 1	 left	 LineStimuli/stimNo11r16c8v6L-1.7.jpg	 l	 2.055	 GoodTrial	 U	 l
61	 1	 left	 LineStimuli/stimNo3r8c6v6R-1.7.jpg	 l	 7.735	 GoodTrial	 U	 l
62	 1	 right	 LineStimuli/stimNo19r1c17v6L-1.7.jpg	 r	 7.188	 GoodTrial	 U	 l
63	 0	 x	 LineStimuli/stimNo112r0c0v6R-1.7.jpg	 r	 6.453	 GoodTrial	 U	 l
64	 0	 x	 LineStimuli/stimNo93r0c0v6R-1.7.jpg	 r	 10.005	 GoodTrial	 U	 l
65	 0	 x	 LineStimuli/stimNo98r0c0v6R-1.7.jpg	 r	 10.898	 GoodTrial	 U	 l
66	 1	 right	 LineStimuli/stimNo78r14c22v6L-1.7.jpg	 l	 11.094	 GoodTrial	 U	 l
67	 1	 left	 LineStimuli/stimNo7r6c3v6R-1.7.jpg	 r	 13.828	 GoodTrial	 U	 l
68	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 19.173	 GoodTrial	 U	 l
69	 1	 right	 LineStimuli/stimNo51r8c16v6R-1.7.jpg	 l	 2.047	 GoodTrial	 U	 l
70	 1	 left	 LineStimuli/stimNo25r4c2v6L-1.7.jpg	 l	 2.240	 GoodTrial	 U	 l
71	 0	 x	 LineStimuli/stimNo87r0c0v6R-1.7.jpg	 r	 9.140	 GoodTrial	 U	 l
72	 0	 x	 LineStimuli/stimNo154r0c0v6R-1.7.jpg	 r	 13.305	 GoodTrial	 U	 l
73	 1	 left	 LineStimuli/stimNo16r16c7v6R-1.7.jpg	 l	 4.340	 GoodTrial	 U	 l
74	 1	 left	 LineStimuli/stimNo72r12c6v6R-1.7.jpg	 r	 13.517	 GoodTrial	 U	 l
75	 1	 left	 LineStimuli/stimNo21r4c2v6R-1.7.jpg	 r	 13.129	 GoodTrial	 U	 l
76	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 2.088	 GoodTrial	 U	 l
77	 0	 x	 LineStimuli/stimNo116r0c0v6R-1.7.jpg	 r	 8.875	 GoodTrial	 U	 l
78	 0	 x	 LineStimuli/stimNo105r0c0v6L-1.7.jpg	 r	 10.421	 GoodTrial	 U	 l
79	 0	 x	 LineStimuli/stimNo89r0c0v6L-1.7.jpg	 r	 7.218	 GoodTrial	 U	 l
80	 1	 left	 LineStimuli/stimNo20r14c8v6L-1.7.jpg	 l	 2.282	 GoodTrial	 U	 l
81	 1	 right	 LineStimuli/stimNo31r9c15v6L-1.7.jpg	 l	 5.494	 GoodTrial	 U	 l
82	 0	 x	 LineStimuli/stimNo133r0c0v6R-1.7.jpg	 r	 12.857	 GoodTrial	 U	 l
83	 1	 right	 LineStimuli/stimNo74r13c16v6R-1.7.jpg	 l	 1.946	 GoodTrial	 U	 l
84	 0	 x	 LineStimuli/stimNo90r0c0v6R-1.7.jpg	 r	 11.964	 GoodTrial	 U	 l
85	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 x	 5.876	 GoodTrial	 U	 l
86	 0	 x	 LineStimuli/stimNo120r0c0v6R-1.7.jpg	 r	 15.069	 GoodTrial	 U	 l
87	 0	 x	 LineStimuli/stimNo150r0c0v6R-1.7.jpg	 r	 18.022	 GoodTrial	 U	 l
88	 1	 right	 LineStimuli/stimNo63r3c20v6R-1.7.jpg	 l	 1.898	 GoodTrial	 U	 l
89	 0	 x	 LineStimuli/stimNo88r0c0v6R-1.7.jpg	 r	 11.641	 GoodTrial	 U	 l
90	 1	 right	 LineStimuli/stimNo52r4c21v6L-1.7.jpg	 l	 3.842	 GoodTrial	 U	 l
91	 1	 right	 LineStimuli/stimNo55r15c22v6R-1.7.jpg	 l	 2.029	 GoodTrial	 U	 l
92	 1	 left	 LineStimuli/stimNo67r4c8v6R-1.7.jpg	 x	 1.118	 GoodTrial	 U	 l
93	 1	 right	 LineStimuli/stimNo69r3c21v6R-1.7.jpg	 l	 2.035	 GoodTrial	 U	 l
94	 1	 left	 LineStimuli/stimNo37r4c6v6L-1.7.jpg	 l	 1.967	 GoodTrial	 U	 l
95	 1	 left	 LineStimuli/stimNo75r11c3v6R-1.7.jpg	 r	 9.982	 GoodTrial	 U	 l
96	 0	 x	 LineStimuli/stimNo157r0c0v6L-1.7.jpg	 r	 8.664	 GoodTrial	 U	 l
97	 0	 x	 LineStimuli/stimNo145r0c0v6R-1.7.jpg	 r	 8.211	 GoodTrial	 U	 l
98	 1	 left	 LineStimuli/stimNo22r16c6v6R-1.7.jpg	 l	 5.270	 GoodTrial	 U	 l
99	 1	 left	 LineStimuli/stimNo12r4c9v6L-1.7.jpg	 l	 1.828	 GoodTrial	 U	 l
100	 1	 right	 LineStimuli/stimNo9r6c18v6L-1.7.jpg	 l	 6.845	 GoodTrial	 U	 l
101	 0	 x	 LineStimuli/stimNo126r0c0v6R-1.7.jpg	 r	 9.047	 GoodTrial	 U	 l
102	 1	 left	 LineStimuli/stimNo45r16c5v6L-1.7.jpg	 l	 1.964	 GoodTrial	 U	 l
103	 1	 left	 LineStimuli/stimNo61r10c4v6L-1.7.jpg	 l	 1.782	 GoodTrial	 U	 l
104	 1	 right	 LineStimuli/stimNo53r6c14v6L-1.7.jpg	 r	 9.752	 GoodTrial	 U	 l
105	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 11.852	 GoodTrial	 U	 l
106	 0	 x	 LineStimuli/stimNo156r0c0v6R-1.7.jpg	 r	 10.398	 GoodTrial	 U	 l
107	 0	 x	 LineStimuli/stimNo91r0c0v6R-1.7.jpg	 r	 9.949	 GoodTrial	 U	 l
