Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 3.315	 GoodTrial	 U	 l
2	 1	 left	 LineStimuli/stimNo67r4c8v6R-1.7.jpg	 r	 6.905	 GoodTrial	 U	 l
3	 1	 right	 LineStimuli/stimNo38r15c16v6L-1.7.jpg	 l	 11.340	 GoodTrial	 U	 l
4	 0	 x	 LineStimuli/stimNo145r0c0v6R-1.7.jpg	 r	 9.240	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo66r14c16v6L-1.7.jpg	 r	 9.639	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo127r0c0v6R-1.7.jpg	 r	 8.998	 GoodTrial	 U	 l
7	 1	 right	 LineStimuli/stimNo63r3c20v6R-1.7.jpg	 l	 2.841	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo75r11c3v6R-1.7.jpg	 r	 13.770	 GoodTrial	 U	 l
9	 1	 right	 LineStimuli/stimNo53r6c14v6L-1.7.jpg	 l	 3.335	 GoodTrial	 U	 l
10	 1	 right	 LineStimuli/stimNo35r6c13v6L-1.7.jpg	 l	 3.958	 GoodTrial	 U	 l
11	 1	 left	 LineStimuli/stimNo29r6c7v6R-1.7.jpg	 l	 2.699	 GoodTrial	 U	 l
12	 1	 right	 LineStimuli/stimNo9r6c18v6L-1.7.jpg	 l	 1.976	 GoodTrial	 U	 l
13	 1	 right	 LineStimuli/stimNo56r1c15v6L-1.7.jpg	 l	 10.899	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo110r0c0v6L-1.7.jpg	 r	 14.298	 GoodTrial	 U	 l
15	 1	 left	 LineStimuli/stimNo61r10c4v6L-1.7.jpg	 l	 3.059	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo122r0c0v6L-1.7.jpg	 r	 8.965	 GoodTrial	 U	 l
17	 0	 x	 LineStimuli/stimNo148r0c0v6L-1.7.jpg	 r	 7.058	 GoodTrial	 U	 l
18	 1	 right	 LineStimuli/stimNo14r10c17v6R-1.7.jpg	 l	 2.582	 GoodTrial	 U	 l
19	 1	 left	 LineStimuli/stimNo44r15c4v6L-1.7.jpg	 l	 2.235	 GoodTrial	 U	 l
20	 1	 right	 LineStimuli/stimNo42r11c21v6L-1.7.jpg	 l	 3.188	 GoodTrial	 U	 l
21	 0	 x	 LineStimuli/stimNo155r0c0v6L-1.7.jpg	 r	 5.257	 GoodTrial	 U	 l
22	 1	 left	 LineStimuli/stimNo22r16c6v6R-1.7.jpg	 r	 5.847	 GoodTrial	 U	 l
23	 0	 x	 LineStimuli/stimNo143r0c0v6L-1.7.jpg	 r	 10.017	 GoodTrial	 U	 l
24	 1	 left	 LineStimuli/stimNo23r14c8v6L-1.7.jpg	 l	 2.387	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo119r0c0v6R-1.7.jpg	 r	 6.441	 GoodTrial	 U	 l
26	 1	 left	 LineStimuli/stimNo5r10c7v6L-1.7.jpg	 l	 1.970	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 r	 8.118	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 r	 6.340	 GoodTrial	 U	 l
29	 1	 right	 LineStimuli/stimNo4r9c19v6R-1.7.jpg	 l	 1.900	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo154r0c0v6R-1.7.jpg	 r	 6.516	 GoodTrial	 U	 l
31	 0	 x	 LineStimuli/stimNo91r0c0v6R-1.7.jpg	 r	 8.730	 GoodTrial	 U	 l
32	 0	 x	 LineStimuli/stimNo89r0c0v6L-1.7.jpg	 r	 8.658	 GoodTrial	 U	 l
33	 1	 left	 LineStimuli/stimNo65r16c7v6L-1.7.jpg	 l	 2.164	 GoodTrial	 U	 l
34	 1	 left	 LineStimuli/stimNo49r12c5v6R-1.7.jpg	 r	 7.368	 GoodTrial	 U	 l
35	 1	 right	 LineStimuli/stimNo77r8c13v6L-1.7.jpg	 l	 9.270	 GoodTrial	 U	 l
36	 1	 right	 LineStimuli/stimNo80r10c20v6R-1.7.jpg	 l	 6.992	 GoodTrial	 U	 l
37	 0	 x	 LineStimuli/stimNo157r0c0v6L-1.7.jpg	 r	 7.976	 GoodTrial	 U	 l
38	 0	 x	 LineStimuli/stimNo125r0c0v6L-1.7.jpg	 r	 16.370	 GoodTrial	 U	 l
39	 1	 right	 LineStimuli/stimNo13r6c19v6R-1.7.jpg	 l	 2.453	 GoodTrial	 U	 l
40	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 2.602	 GoodTrial	 U	 l
41	 0	 x	 LineStimuli/stimNo134r0c0v6L-1.7.jpg	 r	 10.534	 GoodTrial	 U	 l
42	 1	 right	 LineStimuli/stimNo31r9c15v6L-1.7.jpg	 r	 8.905	 GoodTrial	 U	 l
43	 0	 x	 LineStimuli/stimNo88r0c0v6R-1.7.jpg	 r	 12.564	 GoodTrial	 U	 l
44	 0	 x	 LineStimuli/stimNo135r0c0v6L-1.7.jpg	 r	 11.783	 GoodTrial	 U	 l
45	 0	 x	 LineStimuli/stimNo149r0c0v6R-1.7.jpg	 r	 15.252	 GoodTrial	 U	 l
46	 0	 x	 LineStimuli/stimNo131r0c0v6L-1.7.jpg	 r	 14.633	 GoodTrial	 U	 l
47	 0	 x	 LineStimuli/stimNo105r0c0v6L-1.7.jpg	 r	 16.382	 GoodTrial	 U	 l
48	 0	 x	 LineStimuli/stimNo120r0c0v6R-1.7.jpg	 r	 16.825	 GoodTrial	 U	 l
49	 0	 x	 LineStimuli/stimNo124r0c0v6L-1.7.jpg	 r	 17.299	 GoodTrial	 U	 l
50	 1	 right	 LineStimuli/stimNo19r1c17v6L-1.7.jpg	 r	 16.028	 GoodTrial	 U	 l
51	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 14.111	 GoodTrial	 U	 l
52	 1	 right	 LineStimuli/stimNo43r11c16v6R-1.7.jpg	 l	 2.152	 GoodTrial	 U	 l
53	 1	 left	 LineStimuli/stimNo6r2c8v6R-1.7.jpg	 r	 16.540	 GoodTrial	 U	 l
54	 1	 right	 LineStimuli/stimNo76r1c16v6L-1.7.jpg	 l	 4.688	 GoodTrial	 U	 l
55	 1	 right	 LineStimuli/stimNo69r3c21v6R-1.7.jpg	 l	 2.076	 GoodTrial	 U	 l
56	 0	 x	 LineStimuli/stimNo142r0c0v6L-1.7.jpg	 r	 7.617	 GoodTrial	 U	 l
57	 1	 left	 LineStimuli/stimNo36r1c4v6L-1.7.jpg	 l	 1.924	 GoodTrial	 U	 l
58	 0	 x	 LineStimuli/stimNo141r0c0v6L-1.7.jpg	 r	 6.716	 GoodTrial	 U	 l
59	 1	 left	 LineStimuli/stimNo21r4c2v6R-1.7.jpg	 r	 5.629	 GoodTrial	 U	 l
60	 1	 left	 LineStimuli/stimNo72r12c6v6R-1.7.jpg	 r	 8.924	 GoodTrial	 U	 l
61	 0	 x	 LineStimuli/stimNo112r0c0v6R-1.7.jpg	 r	 10.947	 GoodTrial	 U	 l
62	 0	 x	 LineStimuli/stimNo146r0c0v6R-1.7.jpg	 r	 7.700	 GoodTrial	 U	 l
63	 0	 x	 LineStimuli/stimNo152r0c0v6R-1.7.jpg	 r	 8.111	 GoodTrial	 U	 l
64	 0	 x	 LineStimuli/stimNo140r0c0v6R-1.7.jpg	 r	 7.023	 GoodTrial	 U	 l
65	 0	 x	 LineStimuli/stimNo101r0c0v6L-1.7.jpg	 r	 9.183	 GoodTrial	 U	 l
66	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 7.865	 GoodTrial	 U	 l
67	 0	 x	 LineStimuli/stimNo98r0c0v6R-1.7.jpg	 r	 10.335	 GoodTrial	 U	 l
68	 0	 x	 LineStimuli/stimNo117r0c0v6L-1.7.jpg	 r	 11.411	 GoodTrial	 U	 l
69	 0	 x	 LineStimuli/stimNo99r0c0v6R-1.7.jpg	 r	 8.540	 GoodTrial	 U	 l
70	 0	 x	 LineStimuli/stimNo84r0c0v6L-1.7.jpg	 r	 10.840	 GoodTrial	 U	 l
71	 1	 left	 LineStimuli/stimNo3r8c6v6R-1.7.jpg	 r	 13.935	 GoodTrial	 U	 l
72	 0	 x	 LineStimuli/stimNo138r0c0v6L-1.7.jpg	 r	 12.570	 GoodTrial	 U	 l
73	 0	 x	 LineStimuli/stimNo136r0c0v6R-1.7.jpg	 r	 13.015	 GoodTrial	 U	 l
74	 0	 x	 LineStimuli/stimNo96r0c0v6L-1.7.jpg	 r	 12.058	 GoodTrial	 U	 l
75	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 5.141	 GoodTrial	 U	 l
76	 0	 x	 LineStimuli/stimNo133r0c0v6R-1.7.jpg	 r	 7.387	 GoodTrial	 U	 l
77	 1	 right	 LineStimuli/stimNo70r6c16v6R-1.7.jpg	 l	 2.287	 GoodTrial	 U	 l
78	 1	 right	 LineStimuli/stimNo47r15c15v6R-1.7.jpg	 l	 1.741	 GoodTrial	 U	 l
79	 0	 x	 LineStimuli/stimNo103r0c0v6L-1.7.jpg	 r	 12.757	 GoodTrial	 U	 l
80	 0	 x	 LineStimuli/stimNo81r0c0v6R-1.7.jpg	 r	 5.823	 GoodTrial	 U	 l
81	 0	 x	 LineStimuli/stimNo151r0c0v6R-1.7.jpg	 r	 5.022	 GoodTrial	 U	 l
82	 1	 right	 LineStimuli/stimNo30r6c18v6R-1.7.jpg	 l	 2.125	 GoodTrial	 U	 l
83	 1	 left	 LineStimuli/stimNo45r16c5v6L-1.7.jpg	 l	 1.963	 GoodTrial	 U	 l
84	 0	 x	 LineStimuli/stimNo126r0c0v6R-1.7.jpg	 r	 6.388	 GoodTrial	 U	 l
85	 1	 right	 LineStimuli/stimNo58r11c14v6R-1.7.jpg	 l	 1.928	 GoodTrial	 U	 l
86	 1	 right	 LineStimuli/stimNo54r12c21v6L-1.7.jpg	 l	 4.465	 GoodTrial	 U	 l
87	 0	 x	 LineStimuli/stimNo121r0c0v6R-1.7.jpg	 r	 9.847	 GoodTrial	 U	 l
88	 1	 left	 LineStimuli/stimNo68r2c6v6R-1.7.jpg	 r	 5.529	 GoodTrial	 U	 l
89	 1	 right	 LineStimuli/stimNo33r3c15v6R-1.7.jpg	 l	 1.695	 GoodTrial	 U	 l
90	 0	 x	 LineStimuli/stimNo109r0c0v6L-1.7.jpg	 r	 11.899	 GoodTrial	 U	 l
91	 1	 right	 LineStimuli/stimNo74r13c16v6R-1.7.jpg	 l	 1.888	 GoodTrial	 U	 l
92	 1	 left	 LineStimuli/stimNo25r4c2v6L-1.7.jpg	 l	 2.017	 GoodTrial	 U	 l
93	 1	 right	 LineStimuli/stimNo40r12c19v6R-1.7.jpg	 l	 1.658	 GoodTrial	 U	 l
94	 1	 left	 LineStimuli/stimNo2r12c8v6L-1.7.jpg	 l	 1.741	 GoodTrial	 U	 l
95	 1	 left	 LineStimuli/stimNo11r16c8v6L-1.7.jpg	 l	 1.776	 GoodTrial	 U	 l
96	 0	 x	 LineStimuli/stimNo150r0c0v6R-1.7.jpg	 r	 10.698	 GoodTrial	 U	 l
97	 0	 x	 LineStimuli/stimNo108r0c0v6L-1.7.jpg	 r	 4.711	 GoodTrial	 U	 l
98	 1	 left	 LineStimuli/stimNo60r15c9v6R-1.7.jpg	 l	 10.977	 GoodTrial	 U	 l
99	 1	 left	 LineStimuli/stimNo59r9c8v6R-1.7.jpg	 r	 10.823	 GoodTrial	 U	 l
100	 0	 x	 LineStimuli/stimNo92r0c0v6R-1.7.jpg	 r	 12.762	 GoodTrial	 U	 l
101	 0	 x	 LineStimuli/stimNo115r0c0v6R-1.7.jpg	 r	 7.436	 GoodTrial	 U	 l
102	 0	 x	 LineStimuli/stimNo86r0c0v6R-1.7.jpg	 r	 6.864	 GoodTrial	 U	 l
103	 1	 left	 LineStimuli/stimNo39r10c3v6L-1.7.jpg	 l	 1.945	 GoodTrial	 U	 l
104	 1	 left	 LineStimuli/stimNo17r11c1v6L-1.7.jpg	 l	 1.876	 GoodTrial	 U	 l
105	 0	 x	 LineStimuli/stimNo128r0c0v6R-1.7.jpg	 r	 9.317	 GoodTrial	 U	 l
106	 1	 right	 LineStimuli/stimNo48r15c22v6L-1.7.jpg	 r	 7.840	 GoodTrial	 U	 l
107	 1	 right	 LineStimuli/stimNo55r15c22v6R-1.7.jpg	 l	 1.758	 GoodTrial	 U	 l
108	 1	 left	 LineStimuli/stimNo26r14c5v6R-1.7.jpg	 l	 2.170	 GoodTrial	 U	 l
109	 0	 x	 LineStimuli/stimNo129r0c0v6R-1.7.jpg	 r	 4.053	 GoodTrial	 U	 l
110	 0	 x	 LineStimuli/stimNo123r0c0v6L-1.7.jpg	 r	 4.071	 GoodTrial	 U	 l
111	 1	 left	 LineStimuli/stimNo1r5c4v6R-1.7.jpg	 l	 3.959	 GoodTrial	 U	 l
112	 1	 left	 LineStimuli/stimNo62r16c9v6L-1.7.jpg	 l	 1.837	 GoodTrial	 U	 l
113	 0	 x	 LineStimuli/stimNo95r0c0v6L-1.7.jpg	 r	 4.839	 GoodTrial	 U	 l
114	 0	 x	 LineStimuli/stimNo85r0c0v6R-1.7.jpg	 r	 6.053	 GoodTrial	 U	 l
115	 0	 x	 LineStimuli/stimNo90r0c0v6R-1.7.jpg	 r	 4.376	 GoodTrial	 U	 l
116	 0	 x	 LineStimuli/stimNo137r0c0v6L-1.7.jpg	 r	 4.894	 GoodTrial	 U	 l
