Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo127r0c0v6R-1.7.jpg	 r	 10.204	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo128r0c0v6R-1.7.jpg	 r	 7.325	 GoodTrial	 U	 l
3	 0	 x	 LineStimuli/stimNo103r0c0v6L-1.7.jpg	 r	 12.062	 GoodTrial	 U	 l
4	 1	 right	 LineStimuli/stimNo34r16c22v6R-1.7.jpg	 l	 1.923	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo50r7c16v6L-1.7.jpg	 r	 6.369	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 r	 7.441	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 r	 6.693	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 r	 6.676	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo117r0c0v6L-1.7.jpg	 r	 9.711	 GoodTrial	 U	 l
10	 0	 x	 LineStimuli/stimNo81r0c0v6R-1.7.jpg	 r	 13.723	 GoodTrial	 U	 l
11	 1	 left	 LineStimuli/stimNo7r6c3v6R-1.7.jpg	 l	 8.364	 GoodTrial	 U	 l
12	 1	 left	 LineStimuli/stimNo20r14c8v6L-1.7.jpg	 l	 1.735	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo96r0c0v6L-1.7.jpg	 r	 16.435	 GoodTrial	 U	 l
14	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 1.640	 GoodTrial	 U	 l
15	 1	 right	 LineStimuli/stimNo76r1c16v6L-1.7.jpg	 l	 1.854	 GoodTrial	 U	 l
16	 1	 left	 LineStimuli/stimNo2r12c8v6L-1.7.jpg	 l	 1.820	 GoodTrial	 U	 l
17	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 r	 10.159	 GoodTrial	 U	 l
18	 1	 left	 LineStimuli/stimNo49r12c5v6R-1.7.jpg	 r	 12.034	 GoodTrial	 U	 l
19	 0	 x	 LineStimuli/stimNo137r0c0v6L-1.7.jpg	 r	 13.605	 GoodTrial	 U	 l
20	 1	 right	 LineStimuli/stimNo63r3c20v6R-1.7.jpg	 l	 1.804	 GoodTrial	 U	 l
21	 1	 right	 LineStimuli/stimNo33r3c15v6R-1.7.jpg	 l	 1.649	 GoodTrial	 U	 l
22	 1	 right	 LineStimuli/stimNo42r11c21v6L-1.7.jpg	 r	 17.305	 GoodTrial	 U	 l
23	 1	 right	 LineStimuli/stimNo28r12c18v6L-1.7.jpg	 l	 13.769	 GoodTrial	 U	 l
24	 1	 left	 LineStimuli/stimNo25r4c2v6L-1.7.jpg	 l	 2.511	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo140r0c0v6R-1.7.jpg	 r	 9.064	 GoodTrial	 U	 l
26	 0	 x	 LineStimuli/stimNo108r0c0v6L-1.7.jpg	 r	 9.776	 GoodTrial	 U	 l
27	 1	 right	 LineStimuli/stimNo55r15c22v6R-1.7.jpg	 l	 1.911	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo148r0c0v6L-1.7.jpg	 r	 7.854	 GoodTrial	 U	 l
29	 1	 right	 LineStimuli/stimNo51r8c16v6R-1.7.jpg	 l	 1.592	 GoodTrial	 U	 l
