Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 right	 LineStimuli/stimNo30r6c18v6R-1.7.jpg	 r	 2.802	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo95r0c0v6L-1.7.jpg	 l	 5.998	 GoodTrial	 U	 l
3	 1	 left	 LineStimuli/stimNo49r12c5v6R-1.7.jpg	 r	 8.471	 GoodTrial	 U	 l
4	 1	 left	 LineStimuli/stimNo68r2c6v6R-1.7.jpg	 l	 3.123	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 2.113	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo153r0c0v6L-1.7.jpg	 r	 11.093	 GoodTrial	 U	 l
7	 1	 right	 LineStimuli/stimNo53r6c14v6L-1.7.jpg	 l	 1.961	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo21r4c2v6R-1.7.jpg	 l	 2.207	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 r	 4.001	 GoodTrial	 U	 l
10	 1	 left	 LineStimuli/stimNo32r7c5v6L-1.7.jpg	 l	 1.662	 GoodTrial	 U	 l
11	 1	 left	 LineStimuli/stimNo46r11c4v6L-1.7.jpg	 l	 1.931	 GoodTrial	 U	 l
12	 1	 right	 LineStimuli/stimNo69r3c21v6R-1.7.jpg	 l	 1.863	 GoodTrial	 U	 l
13	 1	 right	 LineStimuli/stimNo19r1c17v6L-1.7.jpg	 l	 2.003	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo118r0c0v6L-1.7.jpg	 r	 2.896	 GoodTrial	 U	 l
15	 0	 x	 LineStimuli/stimNo135r0c0v6L-1.7.jpg	 r	 3.101	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo101r0c0v6L-1.7.jpg	 r	 3.260	 GoodTrial	 U	 l
17	 1	 right	 LineStimuli/stimNo24r14c17v6L-1.7.jpg	 r	 2.420	 GoodTrial	 U	 l
18	 1	 right	 LineStimuli/stimNo9r6c18v6L-1.7.jpg	 l	 1.819	 GoodTrial	 U	 l
19	 0	 x	 LineStimuli/stimNo149r0c0v6R-1.7.jpg	 r	 5.742	 GoodTrial	 U	 l
20	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 l	 1.955	 GoodTrial	 U	 l
21	 1	 left	 LineStimuli/stimNo72r12c6v6R-1.7.jpg	 l	 4.242	 GoodTrial	 U	 l
22	 0	 x	 LineStimuli/stimNo88r0c0v6R-1.7.jpg	 r	 5.660	 GoodTrial	 U	 l
23	 0	 x	 LineStimuli/stimNo114r0c0v6L-1.7.jpg	 l	 4.449	 GoodTrial	 U	 l
24	 1	 left	 LineStimuli/stimNo27r8c4v6L-1.7.jpg	 l	 1.595	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 3.607	 GoodTrial	 U	 l
26	 0	 x	 LineStimuli/stimNo120r0c0v6R-1.7.jpg	 r	 4.300	 GoodTrial	 U	 l
27	 1	 left	 LineStimuli/stimNo60r15c9v6R-1.7.jpg	 l	 3.543	 GoodTrial	 U	 l
28	 1	 right	 LineStimuli/stimNo38r15c16v6L-1.7.jpg	 l	 3.649	 GoodTrial	 U	 l
29	 0	 x	 LineStimuli/stimNo112r0c0v6R-1.7.jpg	 r	 6.795	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 r	 4.506	 GoodTrial	 U	 l
31	 1	 right	 LineStimuli/stimNo35r6c13v6L-1.7.jpg	 l	 1.755	 GoodTrial	 U	 l
32	 0	 x	 LineStimuli/stimNo87r0c0v6R-1.7.jpg	 r	 7.036	 GoodTrial	 U	 l
33	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 1.684	 GoodTrial	 U	 l
34	 0	 x	 LineStimuli/stimNo146r0c0v6R-1.7.jpg	 r	 5.257	 GoodTrial	 U	 l
35	 1	 right	 LineStimuli/stimNo56r1c15v6L-1.7.jpg	 l	 1.948	 GoodTrial	 U	 l
36	 1	 left	 LineStimuli/stimNo41r14c3v6R-1.7.jpg	 l	 2.161	 GoodTrial	 U	 l
37	 0	 x	 LineStimuli/stimNo100r0c0v6R-1.7.jpg	 r	 5.702	 GoodTrial	 U	 l
38	 0	 x	 LineStimuli/stimNo107r0c0v6R-1.7.jpg	 r	 3.625	 GoodTrial	 U	 l
39	 0	 x	 LineStimuli/stimNo130r0c0v6L-1.7.jpg	 r	 3.389	 GoodTrial	 U	 l
40	 0	 x	 LineStimuli/stimNo151r0c0v6R-1.7.jpg	 r	 4.213	 GoodTrial	 U	 l
41	 1	 right	 LineStimuli/stimNo52r4c21v6L-1.7.jpg	 l	 1.890	 GoodTrial	 U	 l
42	 1	 right	 LineStimuli/stimNo8r2c20v6L-1.7.jpg	 l	 2.090	 GoodTrial	 U	 l
43	 0	 x	 LineStimuli/stimNo155r0c0v6L-1.7.jpg	 r	 3.548	 GoodTrial	 U	 l
44	 1	 left	 LineStimuli/stimNo26r14c5v6R-1.7.jpg	 l	 1.749	 GoodTrial	 U	 l
45	 0	 x	 LineStimuli/stimNo116r0c0v6R-1.7.jpg	 r	 2.579	 GoodTrial	 U	 l
46	 1	 left	 LineStimuli/stimNo75r11c3v6R-1.7.jpg	 l	 1.714	 GoodTrial	 U	 l
47	 0	 x	 LineStimuli/stimNo111r0c0v6R-1.7.jpg	 r	 3.854	 GoodTrial	 U	 l
48	 0	 x	 LineStimuli/stimNo150r0c0v6R-1.7.jpg	 r	 2.731	 GoodTrial	 U	 l
49	 1	 left	 LineStimuli/stimNo29r6c7v6R-1.7.jpg	 l	 1.655	 GoodTrial	 U	 l
50	 0	 x	 LineStimuli/stimNo122r0c0v6L-1.7.jpg	 r	 2.790	 GoodTrial	 U	 l
51	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 2.848	 GoodTrial	 U	 l
