Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo118r0c0v6L-1.7.jpg	 r	 12.181	 GoodTrial	 U	 l
2	 1	 right	 LineStimuli/stimNo51r8c16v6R-1.7.jpg	 l	 2.828	 GoodTrial	 U	 l
3	 0	 x	 LineStimuli/stimNo146r0c0v6R-1.7.jpg	 r	 4.565	 GoodTrial	 U	 l
4	 1	 left	 LineStimuli/stimNo2r12c8v6L-1.7.jpg	 r	 3.393	 GoodTrial	 U	 l
5	 0	 x	 LineStimuli/stimNo156r0c0v6R-1.7.jpg	 r	 6.964	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo126r0c0v6R-1.7.jpg	 r	 6.603	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 r	 7.095	 GoodTrial	 U	 l
8	 0	 x	 LineStimuli/stimNo160r0c0v6L-1.7.jpg	 r	 6.139	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo134r0c0v6L-1.7.jpg	 r	 4.857	 GoodTrial	 U	 l
10	 0	 x	 LineStimuli/stimNo92r0c0v6R-1.7.jpg	 r	 4.592	 GoodTrial	 U	 l
11	 0	 x	 LineStimuli/stimNo112r0c0v6R-1.7.jpg	 r	 4.940	 GoodTrial	 U	 l
12	 1	 right	 LineStimuli/stimNo56r1c15v6L-1.7.jpg	 r	 5.814	 GoodTrial	 U	 l
13	 1	 left	 LineStimuli/stimNo67r4c8v6R-1.7.jpg	 r	 3.575	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo110r0c0v6L-1.7.jpg	 r	 2.822	 GoodTrial	 U	 l
15	 1	 left	 LineStimuli/stimNo62r16c9v6L-1.7.jpg	 l	 3.109	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 7.728	 GoodTrial	 U	 l
17	 1	 left	 LineStimuli/stimNo36r1c4v6L-1.7.jpg	 l	 2.801	 GoodTrial	 U	 l
18	 0	 x	 LineStimuli/stimNo138r0c0v6L-1.7.jpg	 r	 6.264	 GoodTrial	 U	 l
