Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 32.424	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo149r0c0v6R-1.7.jpg	 r	 12.587	 GoodTrial	 U	 l
3	 0	 x	 LineStimuli/stimNo93r0c0v6R-1.7.jpg	 r	 15.370	 GoodTrial	 U	 l
4	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 8.283	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo40r12c19v6R-1.7.jpg	 l	 12.875	 GoodTrial	 U	 l
6	 1	 left	 LineStimuli/stimNo45r16c5v6L-1.7.jpg	 l	 2.581	 GoodTrial	 U	 l
7	 1	 right	 LineStimuli/stimNo74r13c16v6R-1.7.jpg	 l	 1.706	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo20r14c8v6L-1.7.jpg	 l	 1.835	 GoodTrial	 U	 l
9	 1	 right	 LineStimuli/stimNo35r6c13v6L-1.7.jpg	 l	 6.723	 GoodTrial	 U	 l
10	 1	 right	 LineStimuli/stimNo34r16c22v6R-1.7.jpg	 l	 2.687	 GoodTrial	 U	 l
11	 1	 right	 LineStimuli/stimNo10r14c18v6L-1.7.jpg	 l	 11.033	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo130r0c0v6L-1.7.jpg	 r	 13.017	 GoodTrial	 U	 l
13	 1	 left	 LineStimuli/stimNo29r6c7v6R-1.7.jpg	 r	 10.482	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo150r0c0v6R-1.7.jpg	 r	 17.252	 GoodTrial	 U	 l
15	 0	 x	 LineStimuli/stimNo145r0c0v6R-1.7.jpg	 r	 12.694	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo126r0c0v6R-1.7.jpg	 r	 17.527	 GoodTrial	 U	 l
17	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 14.199	 GoodTrial	 U	 l
18	 1	 left	 LineStimuli/stimNo68r2c6v6R-1.7.jpg	 r	 11.804	 GoodTrial	 U	 l
19	 0	 x	 LineStimuli/stimNo85r0c0v6R-1.7.jpg	 r	 21.898	 GoodTrial	 U	 l
20	 1	 left	 LineStimuli/stimNo12r4c9v6L-1.7.jpg	 l	 3.246	 GoodTrial	 U	 l
21	 1	 right	 LineStimuli/stimNo56r1c15v6L-1.7.jpg	 r	 20.346	 GoodTrial	 U	 l
22	 0	 x	 LineStimuli/stimNo92r0c0v6R-1.7.jpg	 r	 12.076	 GoodTrial	 U	 l
23	 1	 left	 LineStimuli/stimNo7r6c3v6R-1.7.jpg	 r	 9.587	 GoodTrial	 U	 l
24	 0	 x	 LineStimuli/stimNo129r0c0v6R-1.7.jpg	 r	 15.417	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo152r0c0v6R-1.7.jpg	 r	 14.622	 GoodTrial	 U	 l
26	 0	 x	 LineStimuli/stimNo153r0c0v6L-1.7.jpg	 r	 15.199	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 r	 13.912	 GoodTrial	 U	 l
28	 1	 left	 LineStimuli/stimNo71r9c7v6R-1.7.jpg	 r	 13.763	 GoodTrial	 U	 l
29	 0	 x	 LineStimuli/stimNo155r0c0v6L-1.7.jpg	 r	 15.317	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo146r0c0v6R-1.7.jpg	 r	 11.576	 GoodTrial	 U	 l
31	 0	 x	 LineStimuli/stimNo141r0c0v6L-1.7.jpg	 r	 11.305	 GoodTrial	 U	 l
32	 1	 left	 LineStimuli/stimNo11r16c8v6L-1.7.jpg	 l	 2.499	 GoodTrial	 U	 l
33	 1	 left	 LineStimuli/stimNo32r7c5v6L-1.7.jpg	 l	 1.986	 GoodTrial	 U	 l
34	 1	 right	 LineStimuli/stimNo50r7c16v6L-1.7.jpg	 r	 6.310	 GoodTrial	 U	 l
35	 0	 x	 LineStimuli/stimNo90r0c0v6R-1.7.jpg	 r	 12.593	 GoodTrial	 U	 l
36	 0	 x	 LineStimuli/stimNo83r0c0v6L-1.7.jpg	 r	 7.369	 GoodTrial	 U	 l
