Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 left	 LineStimuli/stimNo62r16c9v6L-1.7.jpg	 l	 3.451	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo83r0c0v6L-1.7.jpg	 r	 9.828	 GoodTrial	 U	 l
3	 0	 x	 LineStimuli/stimNo134r0c0v6L-1.7.jpg	 r	 6.306	 GoodTrial	 U	 l
4	 0	 x	 LineStimuli/stimNo87r0c0v6R-1.7.jpg	 r	 7.765	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo76r1c16v6L-1.7.jpg	 r	 12.193	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo107r0c0v6R-1.7.jpg	 r	 7.714	 GoodTrial	 U	 l
7	 1	 left	 LineStimuli/stimNo3r8c6v6R-1.7.jpg	 r	 6.573	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo11r16c8v6L-1.7.jpg	 l	 2.687	 GoodTrial	 U	 l
9	 1	 left	 LineStimuli/stimNo32r7c5v6L-1.7.jpg	 l	 2.253	 GoodTrial	 U	 l
10	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 r	 5.629	 GoodTrial	 U	 l
11	 0	 x	 LineStimuli/stimNo144r0c0v6R-1.7.jpg	 r	 6.069	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo131r0c0v6L-1.7.jpg	 r	 5.293	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo153r0c0v6L-1.7.jpg	 r	 5.429	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo120r0c0v6R-1.7.jpg	 l	 6.023	 GoodTrial	 U	 l
15	 0	 x	 LineStimuli/stimNo95r0c0v6L-1.7.jpg	 r	 7.269	 GoodTrial	 U	 l
16	 1	 right	 LineStimuli/stimNo70r6c16v6R-1.7.jpg	 l	 2.564	 GoodTrial	 U	 l
