Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 r	 14.858	 GoodTrial	 U	 l
2	 1	 left	 LineStimuli/stimNo37r4c6v6L-1.7.jpg	 l	 38.940	 GoodTrial	 U	 l
3	 0	 x	 LineStimuli/stimNo98r0c0v6R-1.7.jpg	 r	 20.807	 GoodTrial	 U	 l
4	 0	 x	 LineStimuli/stimNo123r0c0v6L-1.7.jpg	 l	 23.618	 GoodTrial	 U	 l
5	 0	 x	 LineStimuli/stimNo151r0c0v6R-1.7.jpg	 r	 28.025	 GoodTrial	 U	 l
6	 1	 left	 LineStimuli/stimNo79r12c5v6L-1.7.jpg	 l	 6.140	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo101r0c0v6L-1.7.jpg	 r	 24.489	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 r	 19.980	 GoodTrial	 U	 l
9	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 3.851	 GoodTrial	 U	 l
10	 0	 x	 LineStimuli/stimNo91r0c0v6R-1.7.jpg	 r	 19.171	 GoodTrial	 U	 l
11	 0	 x	 LineStimuli/stimNo93r0c0v6R-1.7.jpg	 r	 14.824	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo116r0c0v6R-1.7.jpg	 r	 32.107	 GoodTrial	 U	 l
13	 1	 left	 LineStimuli/stimNo29r6c7v6R-1.7.jpg	 l	 31.232	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo111r0c0v6R-1.7.jpg	 r	 25.084	 GoodTrial	 U	 l
15	 1	 left	 LineStimuli/stimNo32r7c5v6L-1.7.jpg	 l	 18.730	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo156r0c0v6R-1.7.jpg	 r	 24.854	 GoodTrial	 U	 l
17	 1	 left	 LineStimuli/stimNo36r1c4v6L-1.7.jpg	 l	 5.185	 GoodTrial	 U	 l
18	 1	 right	 LineStimuli/stimNo52r4c21v6L-1.7.jpg	 r	 20.889	 GoodTrial	 U	 l
19	 1	 right	 LineStimuli/stimNo54r12c21v6L-1.7.jpg	 r	 20.971	 GoodTrial	 U	 l
20	 1	 left	 LineStimuli/stimNo21r4c2v6R-1.7.jpg	 l	 14.028	 GoodTrial	 U	 l
21	 0	 x	 LineStimuli/stimNo134r0c0v6L-1.7.jpg	 r	 12.523	 GoodTrial	 U	 l
22	 0	 x	 LineStimuli/stimNo94r0c0v6R-1.7.jpg	 r	 18.153	 GoodTrial	 U	 l
23	 1	 right	 LineStimuli/stimNo14r10c17v6R-1.7.jpg	 l	 2.662	 GoodTrial	 U	 l
24	 1	 left	 LineStimuli/stimNo27r8c4v6L-1.7.jpg	 l	 5.074	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo126r0c0v6R-1.7.jpg	 r	 14.564	 GoodTrial	 U	 l
26	 1	 left	 LineStimuli/stimNo65r16c7v6L-1.7.jpg	 l	 9.162	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo92r0c0v6R-1.7.jpg	 r	 26.638	 GoodTrial	 U	 l
28	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 3.143	 GoodTrial	 U	 l
29	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 17.859	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo133r0c0v6R-1.7.jpg	 r	 17.788	 GoodTrial	 U	 l
31	 1	 left	 LineStimuli/stimNo68r2c6v6R-1.7.jpg	 r	 17.241	 GoodTrial	 U	 l
32	 1	 right	 LineStimuli/stimNo28r12c18v6L-1.7.jpg	 r	 10.604	 GoodTrial	 U	 l
33	 1	 right	 LineStimuli/stimNo34r16c22v6R-1.7.jpg	 l	 4.245	 GoodTrial	 U	 l
34	 1	 right	 LineStimuli/stimNo53r6c14v6L-1.7.jpg	 r	 21.960	 GoodTrial	 U	 l
35	 0	 x	 LineStimuli/stimNo159r0c0v6R-1.7.jpg	 r	 16.576	 GoodTrial	 U	 l
36	 1	 left	 LineStimuli/stimNo20r14c8v6L-1.7.jpg	 l	 4.298	 GoodTrial	 U	 l
37	 1	 left	 LineStimuli/stimNo23r14c8v6L-1.7.jpg	 l	 3.292	 GoodTrial	 U	 l
38	 1	 left	 LineStimuli/stimNo59r9c8v6R-1.7.jpg	 l	 13.834	 GoodTrial	 U	 l
