Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 right	 LineStimuli/stimNo70r6c16v6R-1.7.jpg	 l	 4.192	 GoodTrial	 U	 l
2	 1	 right	 LineStimuli/stimNo47r15c15v6R-1.7.jpg	 l	 2.470	 GoodTrial	 U	 l
3	 1	 right	 LineStimuli/stimNo48r15c22v6L-1.7.jpg	 l	 2.187	 GoodTrial	 U	 l
4	 0	 x	 LineStimuli/stimNo140r0c0v6R-1.7.jpg	 r	 12.258	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo14r10c17v6R-1.7.jpg	 l	 2.049	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo93r0c0v6R-1.7.jpg	 r	 7.176	 GoodTrial	 U	 l
7	 1	 right	 LineStimuli/stimNo74r13c16v6R-1.7.jpg	 l	 1.798	 GoodTrial	 U	 l
8	 1	 right	 LineStimuli/stimNo58r11c14v6R-1.7.jpg	 l	 1.945	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo157r0c0v6L-1.7.jpg	 r	 5.152	 GoodTrial	 U	 l
10	 1	 right	 LineStimuli/stimNo55r15c22v6R-1.7.jpg	 l	 2.165	 GoodTrial	 U	 l
11	 1	 left	 LineStimuli/stimNo3r8c6v6R-1.7.jpg	 r	 5.653	 GoodTrial	 U	 l
12	 1	 left	 LineStimuli/stimNo27r8c4v6L-1.7.jpg	 l	 2.118	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo148r0c0v6L-1.7.jpg	 r	 7.370	 GoodTrial	 U	 l
14	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 r	 6.997	 GoodTrial	 U	 l
15	 1	 left	 LineStimuli/stimNo32r7c5v6L-1.7.jpg	 l	 2.030	 GoodTrial	 U	 l
16	 1	 right	 LineStimuli/stimNo9r6c18v6L-1.7.jpg	 l	 3.392	 GoodTrial	 U	 l
17	 0	 x	 LineStimuli/stimNo155r0c0v6L-1.7.jpg	 r	 12.725	 GoodTrial	 U	 l
18	 1	 left	 LineStimuli/stimNo36r1c4v6L-1.7.jpg	 l	 1.629	 GoodTrial	 U	 l
19	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 2.288	 GoodTrial	 U	 l
20	 0	 x	 LineStimuli/stimNo153r0c0v6L-1.7.jpg	 r	 8.108	 GoodTrial	 U	 l
21	 1	 left	 LineStimuli/stimNo7r6c3v6R-1.7.jpg	 l	 5.190	 GoodTrial	 U	 l
22	 1	 right	 LineStimuli/stimNo31r9c15v6L-1.7.jpg	 l	 5.929	 GoodTrial	 U	 l
23	 0	 x	 LineStimuli/stimNo135r0c0v6L-1.7.jpg	 r	 7.776	 GoodTrial	 U	 l
24	 1	 right	 LineStimuli/stimNo77r8c13v6L-1.7.jpg	 l	 6.847	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo131r0c0v6L-1.7.jpg	 r	 5.493	 GoodTrial	 U	 l
26	 1	 left	 LineStimuli/stimNo16r16c7v6R-1.7.jpg	 r	 4.688	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo115r0c0v6R-1.7.jpg	 r	 9.657	 GoodTrial	 U	 l
28	 1	 right	 LineStimuli/stimNo53r6c14v6L-1.7.jpg	 l	 2.747	 GoodTrial	 U	 l
29	 0	 x	 LineStimuli/stimNo107r0c0v6R-1.7.jpg	 r	 6.558	 GoodTrial	 U	 l
30	 1	 left	 LineStimuli/stimNo22r16c6v6R-1.7.jpg	 r	 4.771	 GoodTrial	 U	 l
31	 0	 x	 LineStimuli/stimNo141r0c0v6L-1.7.jpg	 r	 9.711	 GoodTrial	 U	 l
32	 0	 x	 LineStimuli/stimNo114r0c0v6L-1.7.jpg	 r	 6.646	 GoodTrial	 U	 l
33	 0	 x	 LineStimuli/stimNo96r0c0v6L-1.7.jpg	 r	 4.663	 GoodTrial	 U	 l
34	 0	 x	 LineStimuli/stimNo118r0c0v6L-1.7.jpg	 r	 7.935	 GoodTrial	 U	 l
35	 0	 x	 LineStimuli/stimNo102r0c0v6L-1.7.jpg	 r	 6.357	 GoodTrial	 U	 l
36	 0	 x	 LineStimuli/stimNo132r0c0v6R-1.7.jpg	 r	 6.906	 GoodTrial	 U	 l
37	 0	 x	 LineStimuli/stimNo159r0c0v6R-1.7.jpg	 r	 7.440	 GoodTrial	 U	 l
38	 1	 right	 LineStimuli/stimNo76r1c16v6L-1.7.jpg	 l	 2.512	 GoodTrial	 U	 l
39	 1	 right	 LineStimuli/stimNo13r6c19v6R-1.7.jpg	 l	 1.646	 GoodTrial	 U	 l
40	 0	 x	 LineStimuli/stimNo99r0c0v6R-1.7.jpg	 r	 7.443	 GoodTrial	 U	 l
41	 1	 left	 LineStimuli/stimNo26r14c5v6R-1.7.jpg	 r	 4.852	 GoodTrial	 U	 l
42	 0	 x	 LineStimuli/stimNo119r0c0v6R-1.7.jpg	 r	 11.000	 GoodTrial	 U	 l
43	 1	 left	 LineStimuli/stimNo41r14c3v6R-1.7.jpg	 l	 5.606	 GoodTrial	 U	 l
44	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 9.223	 GoodTrial	 U	 l
45	 0	 x	 LineStimuli/stimNo133r0c0v6R-1.7.jpg	 r	 7.112	 GoodTrial	 U	 l
46	 0	 x	 LineStimuli/stimNo95r0c0v6L-1.7.jpg	 r	 8.558	 GoodTrial	 U	 l
47	 0	 x	 LineStimuli/stimNo117r0c0v6L-1.7.jpg	 r	 4.598	 GoodTrial	 U	 l
48	 1	 right	 LineStimuli/stimNo43r11c16v6R-1.7.jpg	 l	 1.923	 GoodTrial	 U	 l
49	 1	 left	 LineStimuli/stimNo5r10c7v6L-1.7.jpg	 l	 1.811	 GoodTrial	 U	 l
50	 0	 x	 LineStimuli/stimNo156r0c0v6R-1.7.jpg	 r	 7.278	 GoodTrial	 U	 l
51	 1	 left	 LineStimuli/stimNo1r5c4v6R-1.7.jpg	 r	 4.688	 GoodTrial	 U	 l
52	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 l	 9.070	 GoodTrial	 U	 l
53	 0	 x	 LineStimuli/stimNo128r0c0v6R-1.7.jpg	 r	 6.764	 GoodTrial	 U	 l
54	 0	 x	 LineStimuli/stimNo138r0c0v6L-1.7.jpg	 r	 7.088	 GoodTrial	 U	 l
55	 1	 right	 LineStimuli/stimNo18r4c14v6R-1.7.jpg	 l	 1.995	 GoodTrial	 U	 l
56	 1	 left	 LineStimuli/stimNo71r9c7v6R-1.7.jpg	 r	 8.893	 GoodTrial	 U	 l
57	 0	 x	 LineStimuli/stimNo86r0c0v6R-1.7.jpg	 r	 9.034	 GoodTrial	 U	 l
